Model units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Enemy units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Number of Lifetimes ran: 400

Iteration 0 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 2680 ended with reward tensor([0.7000]), enemy health [0.0, 9.0], model health [0.0, 1.0]
Iteration 2681 ended with reward tensor([-1.]), enemy health [0.0, 9.0], model health [0.0, 0.0]
enemy won!
Iteration 2682 ended with reward tensor([0]), enemy health [8, 9], model health [5.0, 9]
Iteration 2683 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [5.0, 9.0]
Iteration 2684 ended with reward tensor([0.4000]), enemy health [2.0, 9], model health [1.0, 9.0]
Iteration 2685 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 9.0]
Iteration 2686 ended with reward tensor([-0.5000]), enemy health [-6.0, 9], model health [0.0, 5.0]
Iteration 2687 ended with reward tensor([0]), enemy health [-6.0, 9], model health [0.0, 3.0]
Iteration 2688 ended with reward tensor([0.7000]), enemy health [-6.0, 8.0], model health [0.0, 1.0]
Iteration 2689 ended with reward tensor([1.7000]), enemy health [-6.0, 4.0], model health [0.0, 1.0]
model won!
Iteration 2690 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 2691 ended with reward tensor([-1.]), enemy health [8, 9], model health [5.0, 8.0]
Iteration 2692 ended with reward tensor([-0.3000]), enemy health [5.0, 9], model health [5.0, 6.0]
Iteration 2693 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0, 6.0]
Iteration 2694 ended with reward tensor([-0.5000]), enemy health [3.0, 9.0], model health [0, 6.0]
Iteration 2695 ended with reward tensor([-0.5000]), enemy health [3.0, 9.0], model health [0.0, 6.0]
Iteration 2696 ended with reward tensor([-0.5000]), enemy health [3.0, 9.0], model health [0.0, 5.0]
Iteration 2697 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0.0, 5.0]
Iteration 2698 ended with reward tensor([0.7000]), enemy health [3.0, 5.0], model health [0.0, 5.0]
Iteration 2699 ended with reward tensor([0.7000]), enemy health [3.0, 4.0], model health [0.0, 4.0]
Iteration 2700 ended with reward tensor([0.7000]), enemy health [3.0, 2.0], model health [0.0, 4.0]
Iteration 2701 ended with reward tensor([1.]), enemy health [3.0, 0.0], model health [0.0, 4.0]
Iteration 2702 ended with reward tensor([0.5000]), enemy health [3.0, 0.0], model health [0.0, 4.0]
Iteration 2703 ended with reward tensor([0]), enemy health [3.0, 0.0], model health [0.0, 3.0]
Iteration 2704 ended with reward tensor([1.7000]), enemy health [0, 0.0], model health [0.0, 3.0]
model won!
Iteration 2705 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [4.0, 9]
Iteration 2706 ended with reward tensor([0.4000]), enemy health [2.0, 9], model health [4.0, 9]
Iteration 2707 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [2.0, 9]
Iteration 2708 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 9]
Iteration 2709 ended with reward tensor([-0.5000]), enemy health [-7.0, 9], model health [0.0, 7.0]
Iteration 2710 ended with reward tensor([-0.5000]), enemy health [-7.0, 9], model health [0.0, 6.0]
Iteration 2711 ended with reward tensor([-0.5000]), enemy health [-7.0, 9], model health [0.0, 5.0]
Iteration 2712 ended with reward tensor([-1.]), enemy health [-7.0, 9], model health [0.0, 0.0]
enemy won!
Iteration 2713 ended with reward tensor([0]), enemy health [8, 9], model health [6.0, 9]
Iteration 2714 ended with reward tensor([0.2000]), enemy health [6.0, 9], model health [1.0, 9]
Iteration 2715 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 9]
Iteration 2716 ended with reward tensor([0.2000]), enemy health [0.0, 9], model health [0.0, 9.0]
Iteration 2717 ended with reward tensor([0.]), enemy health [0.0, 9], model health [0.0, 8.0]
Iteration 2718 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0.0, 7.0]
Iteration 2719 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0.0, 6.0]
Iteration 2720 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0.0, 5.0]
Iteration 2721 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0.0, 4.0]
Iteration 2722 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0.0, 2.0]
Iteration 2723 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0.0, 1.0]
Iteration 2724 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0.0, 1.0]
Iteration 2725 ended with reward tensor([-1.]), enemy health [0.0, 2.0], model health [0.0, 0]
enemy won!
Iteration 2726 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2727 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2728 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2729 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2730 ended with reward tensor([0.4000]), enemy health [7.0, 9], model health [6.0, 9]
Iteration 2731 ended with reward tensor([-0.5000]), enemy health [7.0, 9], model health [6.0, 9]
Iteration 2732 ended with reward tensor([-0.5000]), enemy health [7.0, 9], model health [3.0, 9]
Iteration 2733 ended with reward tensor([-0.5000]), enemy health [7.0, 9], model health [2.0, 9]
Iteration 2734 ended with reward tensor([-0.5000]), enemy health [7.0, 9], model health [0, 8.0]
Iteration 2735 ended with reward tensor([0.7000]), enemy health [7.0, 8.0], model health [0, 7.0]
Iteration 2736 ended with reward tensor([0.7000]), enemy health [7.0, 6.0], model health [0, 5.0]
Iteration 2737 ended with reward tensor([0.7000]), enemy health [7.0, 6.0], model health [0, 3.0]
Iteration 2738 ended with reward tensor([0.7000]), enemy health [7.0, 3.0], model health [0, 1.0]
Iteration 2739 ended with reward tensor([-1.]), enemy health [7.0, 3.0], model health [0, 0]
enemy won!
Iteration 2740 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [8, 8.0]
Iteration 2741 ended with reward tensor([0.4000]), enemy health [2.0, 9], model health [8, 7.0]
Iteration 2742 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [3.0, 7.0]
Iteration 2743 ended with reward tensor([-0.5000]), enemy health [-6.0, 9], model health [0.0, 6.0]
Iteration 2744 ended with reward tensor([-0.5000]), enemy health [-6.0, 9], model health [0.0, 6.0]
Iteration 2745 ended with reward tensor([0.7000]), enemy health [-6.0, 9.0], model health [0.0, 6.0]
Iteration 2746 ended with reward tensor([1.7000]), enemy health [-6.0, 5.0], model health [0.0, 5.0]
model won!
Iteration 2747 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2748 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [8, 8.0]
Iteration 2749 ended with reward tensor([0.4000]), enemy health [3.0, 9], model health [5.0, 7.0]
Iteration 2750 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0, 7.0]
Iteration 2751 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0, 7.0]
Iteration 2752 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 7.0]
Iteration 2753 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 2754 ended with reward tensor([0.7000]), enemy health [1.0, 8.0], model health [0.0, 5.0]
Iteration 2755 ended with reward tensor([0.7000]), enemy health [1.0, 8.0], model health [0.0, 5.0]
Iteration 2756 ended with reward tensor([0.7000]), enemy health [1.0, 8.0], model health [0.0, 4.0]
Iteration 2757 ended with reward tensor([0.7000]), enemy health [1.0, 8.0], model health [0.0, 2.0]
Iteration 2758 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [0.0, 2.0]
Iteration 2759 ended with reward tensor([-0.5000]), enemy health [1.0, 8.0], model health [0.0, 0]
enemy won!
Iteration 2760 ended with reward tensor([0.2000]), enemy health [8, 9], model health [8, 9]
Iteration 2761 ended with reward tensor([0.7000]), enemy health [8.0, 9], model health [8, 9]
Iteration 2762 ended with reward tensor([-0.5000]), enemy health [8.0, 9], model health [7.0, 9]
Iteration 2763 ended with reward tensor([-0.5000]), enemy health [8.0, 9], model health [2.0, 9]
Iteration 2764 ended with reward tensor([-0.5000]), enemy health [8.0, 9], model health [0, 9.0]
Iteration 2765 ended with reward tensor([-0.5000]), enemy health [8.0, 9], model health [0, 9.0]
Iteration 2766 ended with reward tensor([-0.5000]), enemy health [8.0, 9], model health [0, 9.0]
Iteration 2767 ended with reward tensor([0.7000]), enemy health [8.0, 9], model health [0, 6.0]
Iteration 2768 ended with reward tensor([0.7000]), enemy health [6.0, 9], model health [0, 6.0]
Iteration 2769 ended with reward tensor([0.7000]), enemy health [5.0, 9], model health [0, 6.0]
Iteration 2770 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0, 6.0]
Iteration 2771 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0, 6.0]
Iteration 2772 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0, 5.0]
Iteration 2773 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0, 5.0]
Iteration 2774 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0, 5.0]
Iteration 2775 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0, 5.0]
Iteration 2776 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0, 4.0]
Iteration 2777 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0, 4.0]
Iteration 2778 ended with reward tensor([0.7000]), enemy health [3.0, 9.0], model health [0, 2.0]
Iteration 2779 ended with reward tensor([-1.]), enemy health [3.0, 9.0], model health [0, 0.0]
enemy won!
Iteration 2780 ended with reward tensor([0.2000]), enemy health [3.0, 9], model health [8.0, 8.0]
Iteration 2781 ended with reward tensor([0.2000]), enemy health [0.0, 9], model health [8.0, 7.0]
Iteration 2782 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [5.0, 7.0]
Iteration 2783 ended with reward tensor([0]), enemy health [0.0, 9], model health [5.0, 7.0]
Iteration 2784 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [2.0, 7.0]
Iteration 2785 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0.0, 6.0]
Iteration 2786 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0.0, 4.0]
Iteration 2787 ended with reward tensor([-0.5000]), enemy health [0.0, 6.0], model health [0.0, 3.0]
Iteration 2788 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0.0, 2.0]
Iteration 2789 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0.0, 2.0]
Iteration 2790 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0.0, 2.0]
Iteration 2791 ended with reward tensor([0.7000]), enemy health [0.0, 1.0], model health [0.0, 2.0]
Iteration 2792 ended with reward tensor([0.7000]), enemy health [0.0, 1.0], model health [0.0, 2.0]
Iteration 2793 ended with reward tensor([2.]), enemy health [0.0, 0], model health [0.0, 2.0]
model won!
Iteration 2794 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2795 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 8.0]
Iteration 2796 ended with reward tensor([-1.]), enemy health [8, 9], model health [8, 7.0]
Iteration 2797 ended with reward tensor([0.7000]), enemy health [8, 8.0], model health [3.0, 3.0]
Iteration 2798 ended with reward tensor([0.7000]), enemy health [8, 6.0], model health [3.0, 3.0]
Iteration 2799 ended with reward tensor([0.7000]), enemy health [8.0, 6.0], model health [3.0, 3.0]
Iteration 2800 ended with reward tensor([0]), enemy health [8.0, 6.0], model health [3.0, 1.0]
Iteration 2801 ended with reward tensor([-1.]), enemy health [8.0, 6.0], model health [3.0, 1.0]
Iteration 2802 ended with reward tensor([0]), enemy health [8.0, 6.0], model health [0.0, 1.0]
Iteration 2803 ended with reward tensor([-0.5000]), enemy health [8.0, 6.0], model health [0.0, 0]
enemy won!
Iteration 2804 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2805 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [6.0, 9]
Iteration 2806 ended with reward tensor([0.4000]), enemy health [2.0, 9], model health [6.0, 9.0]
Iteration 2807 ended with reward tensor([0.7000]), enemy health [2.0, 6.0], model health [0.0, 9.0]
Iteration 2808 ended with reward tensor([0.7000]), enemy health [2.0, 4.0], model health [0.0, 9.0]
Iteration 2809 ended with reward tensor([0.7000]), enemy health [2.0, 2.0], model health [0.0, 9.0]
Iteration 2810 ended with reward tensor([1.]), enemy health [2.0, 0], model health [0.0, 9.0]
Iteration 2811 ended with reward tensor([0.7000]), enemy health [1.0, 0], model health [0.0, 9.0]
Iteration 2812 ended with reward tensor([2.]), enemy health [0.0, 0], model health [0.0, 9.0]
model won!
Iteration 2813 ended with reward tensor([-1.]), enemy health [8, 9], model health [5.0, 9]
Iteration 2814 ended with reward tensor([-1.]), enemy health [8, 9], model health [1.0, 9]
Iteration 2815 ended with reward tensor([0.9000]), enemy health [5.0, 9], model health [1.0, 8.0]
Iteration 2816 ended with reward tensor([0.7000]), enemy health [5.0, 8.0], model health [0, 8.0]
Iteration 2817 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 8.0]
Iteration 2818 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 5.0]
Iteration 2819 ended with reward tensor([-1.]), enemy health [5.0, 8.0], model health [0, 0]
enemy won!
Iteration 2820 ended with reward tensor([0]), enemy health [8, 9], model health [8, 7.0]
Iteration 2821 ended with reward tensor([0]), enemy health [8, 9], model health [8, 5.0]
Iteration 2822 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [8, 5.0]
Iteration 2823 ended with reward tensor([0.2000]), enemy health [3.0, 9], model health [8, 4.0]
Iteration 2824 ended with reward tensor([0.9000]), enemy health [3.0, 8.0], model health [8, 3.0]
Iteration 2825 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [3.0, 3.0]
Iteration 2826 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0, 3.0]
Iteration 2827 ended with reward tensor([0.7000]), enemy health [2.0, 8.0], model health [0, 3.0]
Iteration 2828 ended with reward tensor([1.]), enemy health [0, 8.0], model health [0, 3.0]
Iteration 2829 ended with reward tensor([0.7000]), enemy health [0, 5.0], model health [0, 1.0]
Iteration 2830 ended with reward tensor([0.7000]), enemy health [0, 3.0], model health [0, 1.0]
Iteration 2831 ended with reward tensor([0.7000]), enemy health [0, 2.0], model health [0, 1.0]
Iteration 2832 ended with reward tensor([-1.]), enemy health [0, 2.0], model health [0, 0.0]
enemy won!
Iteration 2833 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2834 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2835 ended with reward tensor([0.2000]), enemy health [6.0, 9], model health [8, 9]
Iteration 2836 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [8, 6.0]
Iteration 2837 ended with reward tensor([0.7000]), enemy health [2.0, 8.0], model health [8, 3.0]
Iteration 2838 ended with reward tensor([0.7000]), enemy health [1.0, 8.0], model health [8, 1.0]
Iteration 2839 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [7.0, 0.0]
Iteration 2840 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [7.0, 0.0]
Iteration 2841 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [7.0, 0]
Iteration 2842 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [6.0, 0]
Iteration 2843 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [6.0, 0.0]
Iteration 2844 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [6.0, 0.0]
Iteration 2845 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [6.0, 0.0]
Iteration 2846 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [6.0, 0.0]
Iteration 2847 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [6.0, 0]
Iteration 2848 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [6.0, 0]
Iteration 2849 ended with reward tensor([0]), enemy health [1.0, 8.0], model health [6.0, 0]
Iteration 2850 ended with reward tensor([-0.5000]), enemy health [1.0, 8.0], model health [3.0, 0]
Iteration 2851 ended with reward tensor([-0.5000]), enemy health [1.0, 8.0], model health [0.0, 0]
enemy won!
Iteration 2852 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2853 ended with reward tensor([0.2000]), enemy health [7.0, 9], model health [8, 8.0]
Iteration 2854 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [3.0, 8.0]
Iteration 2855 ended with reward tensor([1.]), enemy health [0.0, 9], model health [3.0, 8.0]
Iteration 2856 ended with reward tensor([0.7000]), enemy health [0.0, 9.0], model health [3.0, 3.0]
Iteration 2857 ended with reward tensor([0.7000]), enemy health [0.0, 9.0], model health [3.0, 2.0]
Iteration 2858 ended with reward tensor([0.5000]), enemy health [0.0, 9.0], model health [3.0, 0]
Iteration 2859 ended with reward tensor([0]), enemy health [0.0, 9.0], model health [3.0, 0]
Iteration 2860 ended with reward tensor([-1.5000]), enemy health [0.0, 9.0], model health [0.0, 0]
enemy won!
Iteration 2861 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2862 ended with reward tensor([0]), enemy health [8, 9], model health [5.0, 9]
Iteration 2863 ended with reward tensor([0.]), enemy health [8, 9], model health [0.0, 7.0]
Iteration 2864 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [0.0, 6.0]
Iteration 2865 ended with reward tensor([0.7000]), enemy health [5.0, 6.0], model health [0.0, 3.0]
Iteration 2866 ended with reward tensor([-0.5000]), enemy health [5.0, 6.0], model health [0.0, 2.0]
Iteration 2867 ended with reward tensor([-1.]), enemy health [5.0, 6.0], model health [0.0, 0]
enemy won!
Iteration 2868 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2869 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2870 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [4.0, 9]
Iteration 2871 ended with reward tensor([-0.5000]), enemy health [5.0, 9], model health [4.0, 9.0]
Iteration 2872 ended with reward tensor([-0.3000]), enemy health [2.0, 9], model health [2.0, 9.0]
Iteration 2873 ended with reward tensor([0.2000]), enemy health [0.0, 9], model health [0, 9.0]
Iteration 2874 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0, 9.0]
Iteration 2875 ended with reward tensor([0.7000]), enemy health [0.0, 9.0], model health [0, 7.0]
Iteration 2876 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 6.0]
Iteration 2877 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 5.0]
Iteration 2878 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0, 4.0]
Iteration 2879 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0, 3.0]
Iteration 2880 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0, 1.0]
Iteration 2881 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0, 1.0]
Iteration 2882 ended with reward tensor([-1.]), enemy health [0.0, 3.0], model health [0, 0.0]
enemy won!
Iteration 2883 ended with reward tensor([0.2000]), enemy health [3.0, 9], model health [8, 9]
Iteration 2884 ended with reward tensor([0.2000]), enemy health [2.0, 9], model health [6.0, 9]
Iteration 2885 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [0.0, 9]
Iteration 2886 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0.0, 9.0]
Iteration 2887 ended with reward tensor([0.7000]), enemy health [0.0, 9.0], model health [0.0, 8.0]
Iteration 2888 ended with reward tensor([-0.5000]), enemy health [0.0, 9.0], model health [0.0, 8.0]
Iteration 2889 ended with reward tensor([-0.5000]), enemy health [0.0, 9.0], model health [0.0, 5.0]
Iteration 2890 ended with reward tensor([0.7000]), enemy health [0.0, 8.0], model health [0.0, 4.0]
Iteration 2891 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0.0, 3.0]
Iteration 2892 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0.0, 2.0]
Iteration 2893 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0.0, 1.0]
Iteration 2894 ended with reward tensor([-0.5000]), enemy health [0.0, 3.0], model health [0.0, 0]
enemy won!
Iteration 2895 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [8, 7.0]
Iteration 2896 ended with reward tensor([0]), enemy health [5.0, 9], model health [8, 7.0]
Iteration 2897 ended with reward tensor([0]), enemy health [5.0, 9], model health [8, 7.0]
Iteration 2898 ended with reward tensor([0.4000]), enemy health [3.0, 9], model health [3.0, 7.0]
Iteration 2899 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [0.0, 7.0]
Iteration 2900 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 6.0]
Iteration 2901 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 6.0]
Iteration 2902 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0.0, 6.0]
Iteration 2903 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0.0, 4.0]
Iteration 2904 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0.0, 4.0]
Iteration 2905 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0.0, 4.0]
Iteration 2906 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0.0, 4.0]
Iteration 2907 ended with reward tensor([0.7000]), enemy health [0.0, 2.0], model health [0.0, 4.0]
Iteration 2908 ended with reward tensor([0.7000]), enemy health [0.0, 1.0], model health [0.0, 4.0]
Iteration 2909 ended with reward tensor([2.]), enemy health [0.0, 0.0], model health [0.0, 4.0]
model won!
Iteration 2910 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 2911 ended with reward tensor([0.2000]), enemy health [6.0, 9], model health [8, 9]
Iteration 2912 ended with reward tensor([0.4000]), enemy health [5.0, 9], model health [4.0, 9]
Iteration 2913 ended with reward tensor([0.9000]), enemy health [1.0, 9], model health [2.0, 9]
Iteration 2914 ended with reward tensor([0.7000]), enemy health [1.0, 8.0], model health [2.0, 7.0]
Iteration 2915 ended with reward tensor([0.7000]), enemy health [1.0, 7.0], model health [2.0, 6.0]
Iteration 2916 ended with reward tensor([-0.5000]), enemy health [1.0, 7.0], model health [2.0, 6.0]
Iteration 2917 ended with reward tensor([0.7000]), enemy health [1.0, 5.0], model health [0.0, 3.0]
Iteration 2918 ended with reward tensor([0.7000]), enemy health [1.0, 3.0], model health [0.0, 3.0]
Iteration 2919 ended with reward tensor([0.7000]), enemy health [1.0, 1.0], model health [0.0, 3.0]
Iteration 2920 ended with reward tensor([0.7000]), enemy health [1.0, 1.0], model health [0.0, 3.0]
Iteration 2921 ended with reward tensor([1.]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2922 ended with reward tensor([0]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2923 ended with reward tensor([0.5000]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2924 ended with reward tensor([0]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2925 ended with reward tensor([0]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2926 ended with reward tensor([0]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2927 ended with reward tensor([0.5000]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2928 ended with reward tensor([0]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2929 ended with reward tensor([0.5000]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2930 ended with reward tensor([0]), enemy health [1.0, 0], model health [0.0, 3.0]
Iteration 2931 ended with reward tensor([0]), enemy health [1.0, 0], model health [0.0, 2.0]
Iteration 2932 ended with reward tensor([0]), enemy health [1.0, 0], model health [0.0, 2.0]
Iteration 2933 ended with reward tensor([0.5000]), enemy health [1.0, 0], model health [0.0, 2.0]
Iteration 2934 ended with reward tensor([0.5000]), enemy health [1.0, 0], model health [0.0, 2.0]
Iteration 2935 ended with reward tensor([0.5000]), enemy health [1.0, 0], model health [0.0, 2.0]
Iteration 2936 ended with reward tensor([1.7000]), enemy health [0, 0], model health [0.0, 2.0]
model won!
Iteration 2937 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [8, 8.0]
Iteration 2938 ended with reward tensor([0.4000]), enemy health [4.0, 9], model health [8, 8.0]
Iteration 2939 ended with reward tensor([0.4000]), enemy health [0, 9], model health [8, 7.0]
Iteration 2940 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [8, 6.0]
Iteration 2941 ended with reward tensor([-1.]), enemy health [0, 9], model health [8, 6.0]
Iteration 2942 ended with reward tensor([-1.]), enemy health [0, 9], model health [2.0, 6.0]
Iteration 2943 ended with reward tensor([0.7000]), enemy health [0, 7.0], model health [2.0, 1.0]
Iteration 2944 ended with reward tensor([0]), enemy health [0, 7.0], model health [2.0, 1.0]
Iteration 2945 ended with reward tensor([0]), enemy health [0, 7.0], model health [1.0, 0.0]
Iteration 2946 ended with reward tensor([-1.]), enemy health [0, 7.0], model health [0, 0.0]
enemy won!
Iteration 2947 ended with reward tensor([0]), enemy health [8, 9], model health [2.0, 9]
Iteration 2948 ended with reward tensor([0]), enemy health [8, 9], model health [2.0, 9]
Iteration 2949 ended with reward tensor([0.2000]), enemy health [5.0, 9], model health [0, 9]
Iteration 2950 ended with reward tensor([0.2000]), enemy health [2.0, 9], model health [0, 9]
Iteration 2951 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0, 9]
Iteration 2952 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0, 9]
Iteration 2953 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0, 9]
Iteration 2954 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [0, 7.0]
Iteration 2955 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 5.0]
Iteration 2956 ended with reward tensor([-0.5000]), enemy health [0.0, 7.0], model health [0, 5.0]
Iteration 2957 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0, 5.0]
Iteration 2958 ended with reward tensor([0.7000]), enemy health [0.0, 6.0], model health [0, 4.0]
Iteration 2959 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0, 4.0]
Iteration 2960 ended with reward tensor([0.7000]), enemy health [0.0, 4.0], model health [0, 4.0]
Iteration 2961 ended with reward tensor([0.7000]), enemy health [0.0, 1.0], model health [0, 3.0]
Iteration 2962 ended with reward tensor([0.7000]), enemy health [0.0, 1.0], model health [0, 3.0]
Iteration 2963 ended with reward tensor([2.]), enemy health [0.0, 0], model health [0, 2.0]
model won!
Iteration 2964 ended with reward tensor([0.]), enemy health [8, 9], model health [8, 6.0]
Iteration 2965 ended with reward tensor([0.7000]), enemy health [8, 8.0], model health [4.0, 6.0]
Iteration 2966 ended with reward tensor([-1.]), enemy health [8, 8.0], model health [2.0, 6.0]
Iteration 2967 ended with reward tensor([0.2000]), enemy health [8, 8.0], model health [2.0, 5.0]
Iteration 2968 ended with reward tensor([0.7000]), enemy health [8.0, 6.0], model health [2.0, 3.0]
Iteration 2969 ended with reward tensor([0.7000]), enemy health [8.0, 5.0], model health [0, 3.0]
Iteration 2970 ended with reward tensor([0.7000]), enemy health [8.0, 3.0], model health [0, 3.0]
Iteration 2971 ended with reward tensor([0.7000]), enemy health [8.0, 1.0], model health [0.0, 3.0]
